Advisory Level,Advisory_Date_of_Recommendation,AdvisoryDetail,Advisory_Detail_Description,Bloom_Date_Created,Bloom_Report_ID,Advisory Level,AdvisoryLevelDescription,Contact_Organization,County,Landmark,Observation_Date,Rec_Land_Manager,Regional_Water_Board,Water_Body_Manager,Water_Body_Name,DetailStaticText,Bloom_Longitude_Corrected,Bloom_Latitude
Last verified >90 days ago,8/19/22,Testing results below posting triggers,Water testing of samples resulted in no exceedance of an advisory trigger threshold.,8/19/2022 12:41:24 PM,3645,Last verified >90 days ago,No new observations have been made of this bloom for more than 90 days. Contact waterbody manager for current conditions.,,El Dorado,Outflow to Cold Creek,8/7/2022 12:00:00 AM,,Region 6 - Lahontan,,Star Lake,Detail,-119.89041,38.87666
Last verified >90 days ago,9/21/22,Advisory based on visual and toxins; Updates from routine monitoring program-organization,"Advisory based on presence of harmful algal bloom and water testing that detected cyanotoxins.  Updates to this report are provided by a routine water monitoring program conducting site visits at this waterway, refer to Organization field above for more information.",8/30/2022 10:29:19 AM,3673,Last verified >90 days ago,No new observations have been made of this bloom for more than 90 days. Contact waterbody manager for current conditions.,,El Dorado,Carson Court,8/18/2022 12:00:00 AM,Tahoe Keys Property Owners Association,Region 6 - Lahontan,Tahoe Keys Property Owners Association,Tahoe Keys Lagoon,Detail,-120.01478,38.93310
Last verified >90 days ago,11/4/22,Advisory based on visual and toxins; Updates from routine monitoring program-organization,"Advisory based on presence of harmful algal bloom and water testing that detected cyanotoxins.  Updates to this report are provided by a routine water monitoring program conducting site visits at this waterway, refer to Organization field above for more information.",10/14/2022 2:06:34 PM,3769,Last verified >90 days ago,No new observations have been made of this bloom for more than 90 days. Contact waterbody manager for current conditions.,,El Dorado,Emerald / Marconi East,10/13/2022 12:00:00 AM,,Region 6 - Lahontan,,Tahoe Keys Lagoon,Detail,-120.01586,38.93111
Last verified >90 days ago,11/4/22,Testing results below posting triggers,Water testing of samples resulted in no exceedance of an advisory trigger threshold.,6/17/2022 12:54:09 PM,3479,Last verified >90 days ago,No new observations have been made of this bloom for more than 90 days. Contact waterbody manager for current conditions.,,El Dorado,Lucerne Court F,6/7/2022 12:00:00 AM,Tahoe Keys Property Owners Association,Region 6 - Lahontan,Tahoe Keys Property Owners Association,Tahoe Keys Lagoon,Detail,-120.01138,38.93117
Last verified >90 days ago,11/4/22,Updates from routine monitoring program-organization,"Updates to this report are provided by a routine water monitoring program conducting site visits at this waterway, refer to Organization field above for more information.",9/15/2022 8:52:44 AM,3724,Last verified >90 days ago,No new observations have been made of this bloom for more than 90 days. Contact waterbody manager for current conditions.,,El Dorado,Site 3,9/1/2022 12:00:00 AM,,Region 6 - Lahontan,,Tahoe Keys Lagoon,Detail,-120.01724,38.93169
Last verified >90 days ago,9/8/22,Advisory based on visual and toxins,Advisory based on presence of harmful algal bloom and water testing that detected cyanotoxins.,9/8/2022 8:09:34 PM,3712,Last verified >90 days ago,No new observations have been made of this bloom for more than 90 days. Contact waterbody manager for current conditions.,,El Dorado,Tahoe Keys Beach and Harbor,8/25/2022 12:00:00 AM,,Region 6 - Lahontan,,Tahoe Keys Lagoon,Detail,-120.00395,38.93162
Last verified >90 days ago,11/4/22,Advisory based on visual and toxins; Updates from routine monitoring program-organization,"Advisory based on presence of harmful algal bloom and water testing that detected cyanotoxins.  Updates to this report are provided by a routine water monitoring program conducting site visits at this waterway, refer to Organization field above for more information.",8/25/2022 2:58:38 PM,3661,Last verified >90 days ago,No new observations have been made of this bloom for more than 90 days. Contact waterbody manager for current conditions.,,El Dorado,Venice / Alpine Drive,8/25/2022 12:00:00 AM,Tahoe Keys Property Owners Association,Region 6 - Lahontan,Tahoe Keys Property Owners Association,Tahoe Keys Lagoon,Detail,-120.01963,38.92841
Last verified >90 days ago,10/27/22,Updates from routine monitoring program-organization,"Updates to this report are provided by a routine water monitoring program conducting site visits at this waterway, refer to Organization field above for more information.",8/23/2022 12:13:22 PM,3652,Last verified >90 days ago,No new observations have been made of this bloom for more than 90 days. Contact waterbody manager for current conditions.,private,El Dorado,Venice Drive,8/23/2022 12:00:00 AM,Tahoe Keys Property Owners Association,Region 6 - Lahontan,,Tahoe Keys Lagoon,Detail,-120.01121,38.92824
Last verified >90 days ago,10/11/22,Testing results below posting triggers,Water testing of samples resulted in no exceedance of an advisory trigger threshold.,6/17/2022 12:51:56 PM,3478,Last verified >90 days ago,No new observations have been made of this bloom for more than 90 days. Contact waterbody manager for current conditions.,,El Dorado,Venice Marconi 6,6/7/2022 12:00:00 AM,Tahoe Keys Property Owners Association,Region 6 - Lahontan,Tahoe Keys Property Owners Association,Tahoe Keys Lagoon,Detail,-120.01721,38.92902
Last verified >90 days ago,11/4/22,Advisory based on visual and toxins; Testing results below posting triggers; Updates from routine monitoring program-organization,"Advisory based on presence of harmful algal bloom and water testing that detected cyanotoxins.  Updates to this report are provided by a routine water monitoring program conducting site visits at this waterway, refer to Organization field above for more information.  Water testing of samples resulted in no exceedance of an advisory trigger threshold.",9/8/2022 8:07:27 PM,3711,Last verified >90 days ago,No new observations have been made of this bloom for more than 90 days. Contact waterbody manager for current conditions.,,El Dorado,White Sands Drive,9/1/2022 12:00:00 AM,,Region 6 - Lahontan,,Tahoe Keys Lagoon,Detail,-120.00835,38.93533
Last verified >90 days ago,4/13/22,Bottom/benthic bloom observed,"Observations at this site include confirmation of harmful algal bloom that  forms potential toxic algal mats that grow attached to cobble, sand, and plants on the bottom of the waterway. The water can appear clear when algal mats are attached to the bottom. These mats can dislodge and float downstream or strand on the shoreline, children and dogs should avoid touching mat material.",4/7/2022 12:00:00 AM,3227,Last verified >90 days ago,No new observations have been made of this bloom for more than 90 days. Contact waterbody manager for current conditions.,,El Dorado,,4/7/2022 12:00:00 AM,United States Forest Service,Region 6 - Lahontan,Unknown,Taylor Creek,Detail,-120.05994,38.94120
Last verified >90 days ago,5/12/22,Testing results below posting triggers,Water testing of samples resulted in no exceedance of an advisory trigger threshold.,5/17/2022 10:34:12 AM,3299,Last verified >90 days ago,No new observations have been made of this bloom for more than 90 days. Contact waterbody manager for current conditions.,California Department of Fish and Wildlife,Fresno,Davis Creek ~1.4mi above Mill Flat Cr.,5/4/2022 12:00:00 AM,,Region 5 - Central Valley,,Davis Creek,Detail,-119.08830,36.82459
Last verified >90 days ago,8/23/22,Advisory based on visual and toxins; Bottom/benthic bloom observed,"Advisory based on presence of harmful algal bloom and water testing that detected cyanotoxins.  Observations at this site include confirmation of harmful algal bloom that  forms potential toxic algal mats that grow attached to cobble, sand, and plants on the bottom of the waterway. The water can appear clear when algal mats are attached to the bottom. These mats can dislodge and float downstream or strand on the shoreline, children and dogs should avoid touching mat material.",8/22/2022 5:17:17 PM,3649,Last verified >90 days ago,No new observations have been made of this bloom for more than 90 days. Contact waterbody manager for current conditions.,NPS,Fresno,Muir Rock,8/3/2022 12:00:00 AM,,Region 5 - Central Valley,,South Fork Kings River,Detail,-118.58357,36.79322
Last verified >90 days ago,6/16/22,Testing results below posting triggers,Water testing of samples resulted in no exceedance of an advisory trigger threshold.,6/16/2022 1:52:05 PM,3475,Last verified >90 days ago,No new observations have been made of this bloom for more than 90 days. Contact waterbody manager for current conditions.,California Department of Fish and Wildlife,Glenn,Corbin Creek ~0.1mi above NF,6/7/2022 12:00:00 AM,,Region 1 - North Coast,,Corbin Creek,Detail,-122.73120,39.54980
Last verified >90 days ago,10/31/22,Alert-high concentration toxins; Lake-wide advisory; Updates from routine monitoring program-organization,"Advisory applies to the full extent of the lake or reservoir (lake-wide advisory) and is not to limited the location symbolized by this report.  Alert! High concentration of one or more cyanotoxins measured at this site indicating elevated health risk to humans and animals.  Updates to this report are provided by a routine water monitoring program conducting site visits at this waterway, refer to Organization field above for more information.",4/4/2022 12:00:00 AM,3224,Last verified >90 days ago,No new observations have been made of this bloom for more than 90 days. Contact waterbody manager for current conditions.,RB1,Humboldt,Lagoonwide,3/21/2022 12:00:00 AM,California State Parks,Region 1 - North Coast,County Environmental Health Department,Big Lagoon,Detail,-124.11614,41.17346
Last verified >90 days ago,11/28/22,Advisory based on visual and toxins,Advisory based on presence of harmful algal bloom and water testing that detected cyanotoxins.,11/28/2022 12:46:56 PM,3796,Last verified >90 days ago,No new observations have been made of this bloom for more than 90 days. Contact waterbody manager for current conditions.,RB1 FHAB,Humboldt,near Klamath River,10/25/2022 12:00:00 AM,Yurok Tribe,Region 1 - North Coast,Yurok Tribe,Blue Creek,Detail,-123.92900,41.42486
Last verified >90 days ago,6/3/22,No cyano bloom w/testing,Water testing of samples did not detect presence of harmful algal bloom produced by cyanobacteria.,6/3/2022 11:28:38 AM,3456,Last verified >90 days ago,No new observations have been made of this bloom for more than 90 days. Contact waterbody manager for current conditions.,Karuk Tribe,Humboldt,Orleans,5/25/2022 12:00:00 AM,Karuk Tribe,Region 1 - North Coast,Karuk Tribe,Cheenitch Creek,Detail,-123.52651,41.30384
Last verified >90 days ago,11/10/22,Testing results below posting triggers; Updates from routine monitoring program-organization,"Updates to this report are provided by a routine water monitoring program conducting site visits at this waterway, refer to Organization field above for more information.  Water testing of samples resulted in no exceedance of an advisory trigger threshold.",1/7/2022 12:00:00 AM,3145,Last verified >90 days ago,No new observations have been made of this bloom for more than 90 days. Contact waterbody manager for current conditions.,RB1 FHAB,Humboldt,at Orleans (USGS) (RM 59.1; Baseline),1/7/2022 12:00:00 AM,Unknown,Region 1 - North Coast,Karuk Tribe,Klamath River,Detail,-123.53110,41.30713
